10.09.2013,14.8
11.09.2013,14.5
12.09.2013,14.6
13.09.2013,16.9
14.09.2013,19.5
15.09.2013,19.3
16.09.2013,13.2
17.09.2013,13.7
18.09.2013,19.1
19.09.2013,15.3
20.09.2013,17.1
21.09.2013,17.9
22.09.2013,18.1
23.09.2013,19.9
24.09.2013,17.9
25.09.2013,22.1
26.09.2013,20.8
27.09.2013,20.4
28.09.2013,18.9
29.09.2013,14.1
30.09.2013,12.1
01.10.2013,14.6
02.10.2013,14.8
03.10.2013,11.8
04.10.2013,15.7
05.10.2013,18.5
06.10.2013,14.8
07.10.2013,13.5
08.10.2013,13.8
09.10.2013,14.3
10.10.2013,10.8
11.10.2013,9.1
12.10.2013,10.5
13.10.2013,12.8
14.10.2013,14.6
15.10.2013,16.4
16.10.2013,14.2
17.10.2013,16.0
18.10.2013,16.0
19.10.2013,16.2
20.10.2013,16.4
21.10.2013,15.8
22.10.2013,19.6
23.10.2013,16.1
24.10.2013,16.9
25.10.2013,15.2
26.10.2013,16.6
27.10.2013,17.2
28.10.2013,22.5
29.10.2013,12.9
30.10.2013,12.4
31.10.2013,8.6
01.11.2013,9.5
02.11.2013,18.2
03.11.2013,11.4
04.11.2013,11.9
05.11.2013,9.6
06.11.2013,13.4
07.11.2013,17.9
08.11.2013,18.1
09.11.2013,10.5
10.11.2013,7.3
11.11.2013,7.3
12.11.2013,3.7
13.11.2013,6.5
14.11.2013,4.5
15.11.2013,4.9
16.11.2013,4.8
17.11.2013,4.5
18.11.2013,4.3
19.11.2013,4.3
20.11.2013,4.4
21.11.2013,3.1
22.11.2013,2.9
23.11.2013,4.9
24.11.2013,5.0
25.11.2013,2.2
26.11.2013,0.5
27.11.2013,0.2
28.11.2013,-0.1
29.11.2013,3.4
30.11.2013,4.0
01.12.2013,3.0
02.12.2013,4.0
03.12.2013,-0.3
04.12.2013,3.4
05.12.2013,5.2
06.12.2013,4.9
07.12.2013,6.7
08.12.2013,4.3
09.12.2013,3.8
10.12.2013,5.5
11.12.2013,-0.0
12.12.2013,0.2
13.12.2013,-1.0
14.12.2013,1.2
15.12.2013,1.5
16.12.2013,-0.8
17.12.2013,0.1
18.12.2013,1.1
19.12.2013,3.1
20.12.2013,4.5
21.12.2013,1.0
22.12.2013,9.4
23.12.2013,12.4
24.12.2013,8.3
25.12.2013,10.1
26.12.2013,4.3
27.12.2013,4.3
28.12.2013,4.4
29.12.2013,7.0
30.12.2013,4.2
31.12.2013,2.4
01.01.2014,5.5
02.01.2014,4.5
03.01.2014,6.7
04.01.2014,4.7
05.01.2014,6.4
06.01.2014,5.8
07.01.2014,10.8
08.01.2014,10.9
09.01.2014,10.8
10.01.2014,7.8
11.01.2014,5.5
12.01.2014,5.8
13.01.2014,4.0
14.01.2014,3.3
15.01.2014,4.8
16.01.2014,6.0
17.01.2014,5.9
18.01.2014,1.8
19.01.2014,2.2
20.01.2014,4.7
21.01.2014,3.8
22.01.2014,5.1
23.01.2014,3.8
24.01.2014,3.7
25.01.2014,3.7
26.01.2014,6.1
27.01.2014,4.7
28.01.2014,4.4
29.01.2014,2.8
30.01.2014,1.0
31.01.2014,3.9
01.02.2014,2.5
02.02.2014,3.9
03.02.2014,4.3
04.02.2014,5.7
05.02.2014,4.5
06.02.2014,9.9
07.02.2014,9.1
08.02.2014,5.7
09.02.2014,7.7
10.02.2014,11.1
11.02.2014,7.7
12.02.2014,7.5
13.02.2014,8.7
14.02.2014,7.2
15.02.2014,14.0
16.02.2014,6.9
17.02.2014,8.2
18.02.2014,6.5
19.02.2014,7.1
20.02.2014,9.8
21.02.2014,6.6
22.02.2014,8.7
23.02.2014,8.2
24.02.2014,9.7
25.02.2014,9.3
26.02.2014,10.2
27.02.2014,6.4
28.02.2014,9.0
01.03.2014,4.9
02.03.2014,4.8
03.03.2014,7.4
04.03.2014,3.6
05.03.2014,9.1
06.03.2014,9.2
07.03.2014,10.0
08.03.2014,14.3
09.03.2014,15.0
10.03.2014,13.3
11.03.2014,12.6
12.03.2014,14.6
13.03.2014,14.9
14.03.2014,16.7
15.03.2014,13.6
16.03.2014,15.7
17.03.2014,18.1
18.03.2014,19.4
19.03.2014,14.0
20.03.2014,17.9
21.03.2014,20.6
22.03.2014,13.1
23.03.2014,4.1
